id,eigencentrality
8211,5.335813021087147E-4
52,1.9559353063875948E-4
84,1.9559353063875948E-4
148,1.9559353063875948E-4
276,1.9559353063875948E-4
532,1.9559353063875948E-4
1044,1.9559353063875948E-4
2068,1.9559353063875948E-4
4116,1.9559353063875948E-4
8212,1.9559353063875948E-4
53,5.335813021087147E-4
85,5.335813021087147E-4
149,5.335813021087147E-4
277,5.335813021087147E-4
533,5.335813021087147E-4
1045,5.335813021087147E-4
2069,5.335813021087147E-4
4117,5.335813021087147E-4
8213,5.335813021087147E-4
54,5.335813021087147E-4
86,5.335813021087147E-4
150,5.335813021087147E-4
278,5.335813021087147E-4
534,5.335813021087147E-4
1046,5.335813021087147E-4
2070,5.335813021087147E-4
4118,5.335813021087147E-4
8214,5.335813021087147E-4
55,0.0013617664905195017
87,0.0013617664905195017
151,0.0013617664905195017
279,0.0013617664905195017
535,0.0013617664905195017
1047,0.0013617664905195017
2071,0.0013617664905195017
4119,0.0013617664905195017
8215,0.0013617664905195017
56,1.9559353063875948E-4
88,1.9559353063875948E-4
152,1.9559353063875948E-4
280,1.9559353063875948E-4
536,1.9559353063875948E-4
1048,1.9559353063875948E-4
2072,1.9559353063875948E-4
4120,1.9559353063875948E-4
8216,1.9559353063875948E-4
57,5.335813021087147E-4
89,5.335813021087147E-4
153,5.335813021087147E-4
281,5.335813021087147E-4
537,5.335813021087147E-4
1049,5.335813021087147E-4
2073,5.335813021087147E-4
4121,5.335813021087147E-4
8217,5.335813021087147E-4
58,5.335813021087147E-4
90,5.335813021087147E-4
154,5.335813021087147E-4
282,5.335813021087147E-4
538,5.335813021087147E-4
1050,5.335813021087147E-4
2074,5.335813021087147E-4
4122,5.335813021087147E-4
8218,5.335813021087147E-4
59,0.0013617664905195017
91,0.0013617664905195017
155,0.0013617664905195017
283,0.0013617664905195017
539,0.0013617664905195017
1051,0.0013617664905195017
2075,0.0013617664905195017
4123,0.0013617664905195017
8219,0.0013617664905195017
60,5.335813021087147E-4
92,5.335813021087147E-4
156,5.335813021087147E-4
284,5.335813021087147E-4
540,5.335813021087147E-4
1052,5.335813021087147E-4
2076,5.335813021087147E-4
4124,5.335813021087147E-4
8220,5.335813021087147E-4
61,0.0013617664905195017
93,0.0013617664905195017
157,0.0013617664905195017
285,0.0013617664905195017
541,0.0013617664905195017
1053,0.0013617664905195017
2077,0.0013617664905195017
4125,0.0013617664905195017
8221,0.0013617664905195017
62,0.0013617664905195017
94,0.0013617664905195017
158,0.0013617664905195017
286,0.0013617664905195017
542,0.0013617664905195017
1054,0.0013617664905195017
2078,0.0013617664905195017
4126,0.0013617664905195017
8222,0.0013617664905195017
63,0.0033296216770861624
95,0.0033296216770861624
159,0.0033296216770861624
287,0.0033296216770861624
543,0.0033296216770861624
1055,0.0033296216770861624
2079,0.0033296216770861624
4127,0.0033296216770861624
8223,0.0033296216770861624
96,6.35921291508051E-5
160,6.35921291508051E-5
288,6.35921291508051E-5
544,6.35921291508051E-5
1056,6.35921291508051E-5
2080,6.35921291508051E-5
4128,6.35921291508051E-5
8224,6.35921291508051E-5
97,1.9559353063875948E-4
161,1.9559353063875948E-4
289,1.9559353063875948E-4
545,1.9559353063875948E-4
1057,1.9559353063875948E-4
2081,1.9559353063875948E-4
4129,1.9559353063875948E-4
8225,1.9559353063875948E-4
98,1.9559353063875948E-4
162,1.9559353063875948E-4
290,1.9559353063875948E-4
546,1.9559353063875948E-4
1058,1.9559353063875948E-4
2082,1.9559353063875948E-4
4130,1.9559353063875948E-4
8226,1.9559353063875948E-4
99,5.335813021087147E-4
163,5.335813021087147E-4
291,5.335813021087147E-4
547,5.335813021087147E-4
1059,5.335813021087147E-4
2083,5.335813021087147E-4
4131,5.335813021087147E-4
8227,5.335813021087147E-4
100,1.9559353063875948E-4
164,1.9559353063875948E-4
292,1.9559353063875948E-4
548,1.9559353063875948E-4
1060,1.9559353063875948E-4
2084,1.9559353063875948E-4
4132,1.9559353063875948E-4
8228,1.9559353063875948E-4
101,5.335813021087147E-4
165,5.335813021087147E-4
293,5.335813021087147E-4
549,5.335813021087147E-4
1061,5.335813021087147E-4
2085,5.335813021087147E-4
4133,5.335813021087147E-4
8229,5.335813021087147E-4
102,5.335813021087147E-4
166,5.335813021087147E-4
294,5.335813021087147E-4
550,5.335813021087147E-4
1062,5.335813021087147E-4
2086,5.335813021087147E-4
4134,5.335813021087147E-4
8230,5.335813021087147E-4
103,0.0013617664905195017
167,0.0013617664905195017
295,0.0013617664905195017
551,0.0013617664905195017
