id,boa_peak,boa_size
1532,16380,1538
1533,15869,514
1534,4094,97
1535,7679,128
1536,16380,1538
1537,16377,1026
1538,12222,385
1539,16315,769
1540,16380,1538
1541,16317,256
1542,12222,385
1543,16127,2050
1544,16380,1538
1545,16377,1026
1546,12222,385
1547,16315,769
1548,16380,1538
1549,16317,256
1550,12222,385
1551,16127,2050
1552,16380,1538
1553,16377,1026
1554,12222,385
1555,16315,769
1556,16380,1538
1557,16317,256
1558,12222,385
1559,16127,2050
1560,16380,1538
1561,16377,1026
1562,12222,385
1563,16315,769
1564,16380,1538
1565,16317,256
1566,12222,385
1567,16127,2050
1568,16380,1538
1569,16377,1026
1570,12222,385
1571,16315,769
1572,16380,1538
1573,16317,256
1574,12222,385
1575,16127,2050
1576,16380,1538
1577,16377,1026
1578,12222,385
1579,16315,769
1580,16380,1538
1581,16317,256
1582,12222,385
1583,16127,2050
1584,16380,1538
1585,16377,1026
1586,12222,385
1587,16315,769
1588,16380,1538
1589,16317,256
1590,12222,385
1591,16127,2050
1592,16380,1538
1593,16377,1026
1594,12222,385
1595,16315,769
1596,16380,1538
1597,16317,256
1598,12222,385
1599,16127,2050
1600,16380,1538
1601,16377,1026
1602,16127,2050
1603,16127,2050
1604,16380,1538
1605,16127,2050
1606,16127,2050
1607,16127,2050
1608,16380,1538
1609,16377,1026
1610,16127,2050
1611,16127,2050
1612,16380,1538
1613,16127,2050
1614,16127,2050
1615,16127,2050
1616,16380,1538
1617,16377,1026
1618,16127,2050
1619,16127,2050
1620,16380,1538
1621,16127,2050
1622,16127,2050
1623,16127,2050
1624,16380,1538
1625,16377,1026
1626,16127,2050
1627,16127,2050
1628,16380,1538
1629,16127,2050
1630,16127,2050
1631,16127,2050
1632,16380,1538
1633,16377,1026
1634,16127,2050
1635,16127,2050
1636,16380,1538
1637,16127,2050
1638,16127,2050
1639,16127,2050
1640,16380,1538
1641,16377,1026
1642,16127,2050
1643,16127,2050
1644,16380,1538
1645,16127,2050
1646,16127,2050
1647,16127,2050
1648,16380,1538
1649,16377,1026
1650,16127,2050
1651,16127,2050
1652,16380,1538
1653,16127,2050
