id,eigencentrality
4108,0.068531586152477
8204,0.23820915336418994
29,5.565945993177514E-4
45,5.565945993177514E-4
77,5.565945993177514E-4
141,5.565945993177514E-4
269,5.565945993177514E-4
525,5.565945993177514E-4
1037,5.565945993177514E-4
2061,0.02646538715905751
4109,0.058306409670976264
8205,0.12172083804559418
30,5.565945993177514E-4
46,5.565945993177514E-4
78,5.565945993177514E-4
142,5.565945993177514E-4
270,5.565945993177514E-4
526,5.565945993177514E-4
1038,5.565945993177514E-4
2062,0.02646538715905751
4110,0.058306409670976264
8206,0.12172083804559418
31,0.001430116693190024
47,0.001430116693190024
79,0.001430116693190024
143,0.001430116693190024
271,0.001430116693190024
527,0.001430116693190024
1039,0.001430116693190024
2063,0.025304358766908387
4111,0.05566959581910345
8207,0.06602392351564325
48,6.545287446606652E-5
80,6.545287446606652E-5
144,6.545287446606652E-5
272,6.545287446606652E-5
528,6.545287446606652E-5
1040,6.545287446606652E-5
2064,0.04140662571032556
4112,0.08908010378560045
8208,0.4817934943149869
49,2.0266470542925532E-4
81,2.0266470542925532E-4
145,2.0266470542925532E-4
273,2.0266470542925532E-4
529,2.0266470542925532E-4
1041,2.0266470542925532E-4
2065,0.03135235382745356
4113,0.06836219375380283
8209,0.2374154464517283
50,2.0266470542925532E-4
82,2.0266470542925532E-4
146,2.0266470542925532E-4
274,2.0266470542925532E-4
530,2.0266470542925532E-4
1042,2.0266470542925532E-4
2066,0.03135235382745356
4114,0.06836219375380283
8210,0.2374154464517283
51,5.565945993177514E-4
83,5.565945993177514E-4
147,5.565945993177514E-4
275,5.565945993177514E-4
531,5.565945993177514E-4
1043,5.565945993177514E-4
2067,0.02640637297170253
4115,0.05814346245946849
8211,0.12118190726704157
52,2.0266470542925532E-4
84,2.0266470542925532E-4
148,2.0266470542925532E-4
276,2.0266470542925532E-4
532,2.0266470542925532E-4
1044,2.0266470542925532E-4
2068,0.03133672363450847
4116,0.0683248611517945
8212,0.2373323595540339
53,5.565945993177514E-4
85,5.565945993177514E-4
149,5.565945993177514E-4
277,5.565945993177514E-4
533,5.565945993177514E-4
1045,5.565945993177514E-4
2069,0.026399643662755073
4117,0.0581352506985206
8213,0.12118615099953384
54,5.565945993177514E-4
86,5.565945993177514E-4
150,5.565945993177514E-4
278,5.565945993177514E-4
534,5.565945993177514E-4
1046,5.565945993177514E-4
2070,0.026399643662755073
4118,0.0581352506985206
8214,0.12118615099953384
55,0.001430116693190024
87,0.001430116693190024
151,0.001430116693190024
