id,fitness
550,315
551,464
552,177
553,326
554,245
555,394
556,289
557,438
558,357
559,506
560,203
561,352
562,271
563,420
564,315
565,464
566,383
567,532
568,245
569,394
570,313
571,462
572,357
573,506
574,425
575,574
576,122
577,271
578,190
579,339
580,234
581,383
582,302
583,451
584,164
585,313
586,232
587,381
588,276
589,425
590,344
591,493
592,190
593,339
594,258
595,407
596,302
597,451
598,370
599,519
600,232
601,381
602,300
603,449
604,344
605,493
606,412
607,561
608,197
609,346
610,265
611,414
612,309
613,458
614,377
615,526
616,239
617,388
618,307
619,456
620,351
621,500
622,419
623,568
624,265
625,414
626,333
627,482
628,377
629,526
630,445
631,594
632,307
633,456
634,375
635,524
636,419
637,568
638,487
639,636
640,92
641,241
642,160
643,309
644,204
645,353
646,272
647,421
648,134
649,283
650,202
651,351
652,246
653,395
654,314
655,463
656,160
657,309
658,228
659,377
660,272
661,421
662,340
663,489
664,202
665,351
666,270
667,419
668,314
669,463
670,382
671,531
672,167
673,316
674,235
675,384
676,279
677,428
678,347
679,496
680,209
681,358
682,277
683,426
684,321
685,470
686,389
687,538
688,235
689,384
690,303
691,452
692,347
693,496
694,415
695,564
696,277
697,426
698,345
699,494
700,389
701,538
702,457
703,606
704,154
705,303
706,222
707,371
708,266
709,415
710,334
711,483
712,196
713,345
714,264
715,413
716,308
717,457
718,376
719,525
720,222
721,371
722,290
723,439
724,334
725,483
726,402
727,551
728,264
729,413
730,332
731,481
732,376
733,525
734,444
735,593
736,229
737,378
738,297
739,446
740,341
741,490
742,409
743,558
744,271
745,420
746,339
747,488
748,383
749,532
750,451
751,600
752,297
753,446
754,365
755,514
756,409
757,558
758,477
759,626
760,339
761,488
762,407
763,556
764,451
765,600
766,519
767,668
768,85
769,234
770,153
771,302
772,197
773,346
774,265
775,414
776,127
777,276
778,195
779,344
780,239
781,388
782,307
783,456
784,153
785,302
786,221
787,370
788,265
789,414
790,333
791,482
792,195
793,344
794,263
795,412
796,307
797,456
798,375
799,524
800,160
801,309
802,228
803,377
804,272
805,421
806,340
807,489
808,202
809,351
810,270
811,419
812,314
813,463
814,382
815,531
816,228
817,377
818,296
819,445
